ticker	company
2914	JT（日本たばこ産業）
8316	三井住友フィナンシャルG
4502	武田薬品
8584	ジャックス
8053	住友商事
8766	東京海上ホールディングス
8306	三菱UFJフィナンシャルG
3597	自重堂
9513	J-POWER
7995	バルカー
3817	SRAホールディングス
8058	三菱商事
8593	三菱HCキャピタル
8898	センチュリー21ジャパン
8591	オリックス
8096	兼松エレクトロニクス
8750	第一生命ホールディングス
2124	JAC Recruitment
9432	NTT(日本電信電話)
9142	JR九州(九州旅客鉄道)
9433	KDDI
6073	アサンテ
1835	東鉄工業
7751	キャノン
6032	インターワークス
8002	丸紅
8031	三井物産
9986	蔵王産業
6087	アビスト
7921	TAKARA&COMPANY
2169	CDS
9436	沖縄セルラー
2393	日本ケアサプライ
4732	ユー・エス・エス
6113	アマダホールディングス
8001	伊藤忠商事
3407	旭化成
2670	エービーシー・マート
5108	ブリヂストン
3763	プロシップ
2391	プラネット
4327	日本エス・エイチ・エル
7820	二ホンフラッシュ
5388	クニミネ工業
4326	インテージホールディングス
6301	コマツ
